标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,arXiv ID,简明摘要
ChatGPT-generated texts show authorship traits that identify them as non-human,ChatGPT生成文本表现出可识别其非人类作者身份的写作特征,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16385v1,http://arxiv.org/abs/2508.16385v1,2508.16385v1,本文通过对比人类与大型语言模型（如ChatGPT）生成的文本，发现尽管模型能根据不同写作场景调整风格，但其语言表现仍难以完全模仿人类。具体而言，模型在不同文体中的变化较有限，且偏好使用名词而非动词，缺乏人类语言中丰富的时态和语气变化。这表明语言模型在语法复杂性和思维模式上与人类存在显著差异，为区分机器与人类作者提供了新的线索和方法。
GLARE: Agentic Reasoning for Legal Judgment Prediction,GLARE：用于法律判决预测的智能体推理框架,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16383v1,http://arxiv.org/abs/2508.16383v1,2508.16383v1,本文针对法律判决预测中现有大语言模型推理能力不足的问题，提出了GLARE框架。该框架通过动态调用多个模块，主动获取关键法律知识，增强了推理的深度和广度。实验证明，GLARE在真实数据集上显著提升了预测效果。同时，框架生成的推理链提高了结果的可解释性，增强了其在实际法律应用中的潜力。
The Mediomatix Corpus: Parallel Data for Romansh Idioms via Comparable Schoolbooks,Mediomatix语料库：通过可比学校教材构建罗曼什语习语的平行数据,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16371v1,http://arxiv.org/abs/2508.16371v1,2508.16371v1,本文介绍了首个涵盖瑞士罗曼什语五种方言的平行语料库——Mediomatix语料库。该语料库基于291册内容相似的教科书，通过自动对齐方法提取了20.7万条多语言对应片段，包含超过200万词。小规模人工评估表明数据高度平行，适用于自然语言处理任务，如方言间机器翻译。作者公开了该数据集，并通过训练大型语言模型验证了其在机器翻译中的有效性，推动了罗曼什语方言研究和应用的发展。
Attention Mechanism in Randomized Time Warping,随机时间扭曲中的注意力机制,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16366v1,http://arxiv.org/abs/2508.16366v1,2508.16366v1,本文揭示了随机时间扭曲（RTW）方法的核心功能可以看作是一种自注意力机制，这一机制是运动识别中Transformer模型的关键技术。RTW通过为输入序列的每个元素分配权重来提取区分性特征，这些权重与自注意力权重高度相关。不同于自注意力仅关注局部序列，RTW作用于整个序列，从而在保持全局视角的同时提升了性能。实验证明，RTW在Something-Something V2数据集上相较Transformer提升了约5%的识别准确率，展示了其在序列匹配和特征提取中的优势。
MizanQA: Benchmarking Large Language Models on Moroccan Legal Question Answering,MizanQA：基于摩洛哥法律问答的大型语言模型基准测试,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16357v1,http://arxiv.org/abs/2508.16357v1,2508.16357v1,本文提出了MizanQA，一个专门针对摩洛哥法律问答的评测基准，涵盖现代标准阿拉伯语、伊斯兰马立克法学、摩洛哥习惯法及法国法律影响，包含1700多个多选题，真实反映法律推理的复杂性。通过对多语言及阿拉伯语大语言模型的测试，发现其在该领域表现存在显著差距，强调了开发文化和领域特定模型及评估方法的必要性。该工作为低资源法律领域的语言模型研究提供了重要数据和参考。
Confusion is the Final Barrier: Rethinking Jailbreak Evaluation and Investigating the Real Misuse Threat of LLMs,困惑是最终障碍：重新思考Jailbreak评估及调查大型语言模型的真实滥用威胁,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16347v1,http://arxiv.org/abs/2508.16347v1,2508.16347v1,本文重新审视了大型语言模型（LLMs）在防范“越狱”攻击中的安全性评估，指出当前的成功率可能源自模型之间的误导性循环，而非模型真正掌握了危险知识。通过设计知识密集型问答任务，作者分析了LLMs在持有有害知识、执行有害任务规划及判断有害内容方面的表现，发现模型的“越狱”成功与其实际掌握的有害知识存在脱节，且现有的评估方法过于依赖语言的毒性特征。研究揭示了现有安全评估与现实威胁之间的差距，为更准确评估和提升LLMs安全性提供了新的视角。
LLMSymGuard: A Symbolic Safety Guardrail Framework Leveraging Interpretable Jailbreak Concepts,LLMSymGuard：利用可解释越狱概念的符号安全护栏框架,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16325v1,http://arxiv.org/abs/2508.16325v1,2508.16325v1,本文提出了LLMSymGuard，一种基于稀疏自编码器的新框架，用于提升大语言模型的安全性。该方法通过识别模型内部与不同越狱攻击相关的可解释概念，构建符号化的逻辑安全防护机制，实现对有害内容生成的透明且稳健防御。与传统的微调方法不同，LLMSymGuard无需额外训练即可有效抵御攻击，增强了模型的安全性和可解释性，为设计更可靠的防护措施提供了新思路。
OwkinZero: Accelerating Biological Discovery with AI,OwkinZero：利用人工智能加速生物学发现,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16315v1,http://arxiv.org/abs/2508.16315v1,2508.16315v1,本文针对大型语言模型在生物学推理任务中的不足，构建了包含30万多条问答对的八个药物发现相关数据集，涵盖关键挑战如靶点可药性和药物效应。基于这些数据，作者通过强化学习方法优化开源模型，开发了OwkinZero系列专用模型。实验表明，OwkinZero在生物学基准测试中显著优于更大规模的商业模型，且在多任务训练下展现出更强的泛化能力。该研究为提升AI在生物医学领域的推理能力和加速药物研发提供了有效路径。
Retrieval Enhanced Feedback via In-context Neural Error-book,基于In-context神经错误簿的检索增强反馈,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16313v1,http://arxiv.org/abs/2508.16313v1,2508.16313v1,本文提出了REFINE，一种基于教师-学生框架的反馈机制，通过系统化整理错误并提供针对性指导，提升多模态大语言模型的推理能力。REFINE设计了三类结构化反馈，帮助模型聚焦关键信息、定位错误原因并制定纠正策略，有效减少冗余检索，提升推理效率和计算资源利用率。实验结果表明，该方法显著加快推理速度，降低计算成本，并具备良好的泛化能力，展示了其在多模态推理任务中的应用潜力。
Exploiting Information Redundancy in Attention Maps for Extreme Quantization of Vision Transformers,利用注意力图中的信息冗余实现视觉Transformer的极端量化,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16311v1,http://arxiv.org/abs/2508.16311v1,2508.16311v1,本文针对视觉Transformer模型中多头自注意力机制计算复杂度高、内存需求大的问题，提出了一种基于信息冗余的极端量化方法。通过分析各注意力头的信息熵，发现低熵头贡献较少信息，进而设计了冻结并低精度量化低熵注意力图的策略，有效减少重复计算。实验证明，该方法在ImageNet-1k数据集上对DeiT和Swin Transformer模型实现了显著加速，同时保持甚至提升了模型准确率，具备良好的实际应用潜力。
A Sharp KL-Convergence Analysis for Diffusion Models under Minimal Assumptions,在最小假设下扩散模型的精确KL收敛性分析,22 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.16306v1,http://arxiv.org/abs/2508.16306v1,2508.16306v1,本文针对扩散模型的生成过程收敛性进行了精细分析，显著提升了其在无平滑性假设下的理论保证。通过将生成过程拆分为逆向常微分方程步骤和小幅加噪步骤，作者利用逆向步骤在距离度量上的控制，结合噪声引入，实现了对KL散度误差更优的依赖关系。结果表明，仅需更少的离散化步骤即可在高维数据上以较低误差逼近目标分布，较之前的工作在计算效率和理论界限上均有明显改进，推动了扩散模型理论基础的发展。
A Multimodal-Multitask Framework with Cross-modal Relation and Hierarchical Interactive Attention for Semantic Comprehension,一种具有跨模态关系和分层交互注意力的多模态多任务语义理解框架,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16300v1,http://arxiv.org/abs/2508.16300v1,2508.16300v1,本文针对多模态学习中单一模态噪声影响多模态表示的问题，提出了一种多模态多任务框架MM-ORIENT。该方法通过跨模态关系图重构单模态特征，避免了模态间显式交互带来的噪声干扰；同时引入层次交互注意力机制，聚焦单模态内的关键信息，提升了多任务学习的表现。实验结果表明，该框架在多个数据集上有效提升了多模态语义理解能力，兼顾了模态间关系和单模态特征的辨识力。
Do What? Teaching Vision-Language-Action Models to Reject the Impossible,做什么？教会视觉-语言-动作模型拒绝不可能的任务,22 Aug 2025,Embodied AI,Other,http://arxiv.org/pdf/2508.16292v1,http://arxiv.org/abs/2508.16292v1,2508.16292v1,本文提出了一种名为Instruct-Verify-and-Act（IVA）的框架，旨在提升视觉-语言-动作模型对不可能完成的指令的识别和处理能力。该方法能准确检测指令中的错误前提，主动通过语言进行澄清或纠正，并基于环境感知调整行动方案。通过构建包含正确信息与错误前提指令的半合成数据集，模型在检测错误前提的准确率上提升了97.56%，在应对错误指令的成功率上提升了50.78%。该研究为机器人系统更智能地理解和响应复杂语言指令提供了有效方案。
EdgeDoc: Hybrid CNN-Transformer Model for Accurate Forgery Detection and Localization in ID Documents,EdgeDoc：用于身份证件伪造检测与定位的混合CNN-Transformer模型,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16284v1,http://arxiv.org/abs/2508.16284v1,2508.16284v1,本文提出了EdgeDoc，一种结合轻量级卷积变换器与图像噪声特征的混合模型，用于准确检测和定位身份证件中的伪造痕迹。该方法有效提升了对细微篡改的识别能力，实验证明其在FantasyID数据集上的表现优于现有基线方法。EdgeDoc在ICCV 2025 DeepID挑战赛中获得第三名，展示了其在实际身份验证和远程入职系统中保障文档安全的潜力和竞争力。
AgentScope 1.0: A Developer-Centric Framework for Building Agentic Applications,AgentScope 1.0：面向开发者的智能体应用构建框架,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16279v1,http://arxiv.org/abs/2508.16279v1,2508.16279v1,本文提出了AgentScope 1.0，一个面向开发者的框架，旨在简化和提升基于大型语言模型的智能代理应用的构建。该框架通过统一接口和模块化设计，支持多样化的工具交互和复杂任务执行，增强了代理的灵活性和效率。同时，AgentScope引入了基于ReAct范式的行为机制和异步架构，丰富了人机及代理间的交互方式。框架还集成了多种实用代理、可视化评估工具和安全运行环境，助力开发者更高效地开发、测试和部署智能代理应用，推动其在实际场景中的应用落地。
The next question after Turing's question: Introducing the Grow-AI test,图灵问题之后的下一个问题：引入Grow-AI测试,22 Aug 2025,AGI,Other,http://arxiv.org/pdf/2508.16277v1,http://arxiv.org/abs/2508.16277v1,2508.16277v1,本文提出了GROW-AI测试框架，旨在评估人工智能是否具备类似人类成长的能力，作为图灵测试的自然延续。该方法通过六个核心标准和多场景“游戏”对AI的行为进行综合评估，所有决策记录在统一的日志中以确保结果的可追溯性和可比性。研究表明，该测试不仅能量化AI的“成长”水平，还能揭示其优势与不足，融合了心理学、机器人学、计算机科学与伦理学视角，创新性地将人类成长过程概念引入AI评估，推动了对智能成熟度的全面理解。
Structuring GUI Elements through Vision Language Models: Towards Action Space Generation,通过视觉语言模型构建GUI元素结构：迈向动作空间生成,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16271v1,http://arxiv.org/abs/2508.16271v1,2508.16271v1,本文针对多模态大语言模型在图形用户界面元素定位中的不足，提出了一种基于交并比（IoU）增强的最大似然训练方法。通过引入基于坐标邻近度的数据增强策略，改进了模型对界面元素坐标的预测能力，有效缓解了传统训练中语义空洞和偏差问题。大量实验验证了该方法在提升界面元素结构理解和定位准确性方面的优越性，为多模态模型在用户界面交互中的应用提供了新的思路。
LLMs that Understand Processes: Instruction-tuning for Semantics-Aware Process Mining,理解流程的LLMs：面向语义感知流程挖掘的指令微调,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16270v1,http://arxiv.org/abs/2508.16270v1,2508.16270v1,本文探讨了利用大型语言模型（LLMs）通过指令微调提升语义感知流程挖掘的能力。传统流程挖掘侧重于已记录行为，而语义感知方法关注流程中应有的行为。针对现有微调方法计算成本高且任务单一的问题，作者提出通过指令微调让模型学习多种任务的提示与回答，从而增强其对流程挖掘的理解和泛化能力。实验结果显示，该方法显著提升了流程发现和预测任务的表现，但在异常检测任务上效果因模型而异，表明任务选择对微调效果至关重要。
From Confidence to Collapse in LLM Factual Robustness,从置信到崩溃：大语言模型事实鲁棒性的研究,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16267v1,http://arxiv.org/abs/2508.16267v1,2508.16267v1,本文提出了一种新的评估方法，通过分析语言模型生成过程中的不确定性和对解码参数变化的敏感度，量化模型对事实知识的稳定性，称为事实稳健性评分（FRS）。在多个大型语言模型和问答数据集上的实验表明，模型规模越大，事实稳健性越高，但在不确定性增加时准确率显著下降。该研究揭示了生成过程中的内在因素如何影响模型的知识可靠性，为提升未来语言模型在知识保持和检索方面的稳健性提供了新的思路。
M3TQA: Massively Multilingual Multitask Table Question Answering,M3TQA：大规模多语言多任务表格问答,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16265v1,http://arxiv.org/abs/2508.16265v1,2508.16265v1,本文提出了M3TQA框架及其大规模多语言表格问答基准m3TQA-Instruct，覆盖97种语言，特别包含低资源语言，填补了现有多语言表格理解研究的不足。通过高质量的中英双语表格翻译和专业标注，构建了涵盖四种任务的2916个问答对，用于评估细粒度的表格推理能力。实验表明，合成的无标注数据显著提升了模型在低资源语言上的表现。该工作为多语言表格理解提供了新的评测标准和可扩展的研究方法。
On the Evolution of Federated Post-Training Large Language Models: A Model Accessibility View,联邦后训练大语言模型的演进：基于模型可访问性的视角,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16261v1,http://arxiv.org/abs/2508.16261v1,2508.16261v1,本文系统回顾了联邦学习环境下对大型语言模型的后期训练方法，重点关注模型访问权限对优化策略的影响。作者提出了一种基于模型可访问性和参数效率的分类体系，将现有方法分为白盒、灰盒和黑盒三类，特别强调了无需内部模型信息的黑盒推理方案。论文总结了各类技术的代表性成果，分析了当前研究的挑战与未来发展方向，为推动隐私保护下的大型语言模型协同优化提供了重要参考。
"MCPVerse: An Expansive, Real-World Benchmark for Agentic Tool Use",MCPVerse：一个广泛的真实世界智能体工具使用基准,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16260v1,http://arxiv.org/abs/2508.16260v1,2508.16260v1,本文提出了MCPVerse，一个包含550多个真实可执行工具的大规模评测基准，用于测试语言模型在复杂真实环境中使用工具的能力。MCPVerse提供超过14万令牌的广阔操作空间，并通过实时结果评估时间敏感任务。实验结果显示，当前主流模型在面对庞大工具集时性能下降，而具备主动探索能力的模型如Claude-4-Sonnet能有效提升准确率。该基准揭示了现有模型在实际应用中的局限性，推动了智能体工具使用能力的评估与发展。
FEST: A Unified Framework for Evaluating Synthetic Tabular Data,FEST：用于评估合成表格数据的统一框架,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16254v1,http://arxiv.org/abs/2508.16254v1,2508.16254v1,本文提出了FEST，一种统一的评估框架，用于综合衡量合成表格数据的隐私保护与数据实用性。FEST结合多种隐私指标和数据相似性及机器学习性能指标，提供全面的评价视角。通过在多个数据集上的验证，FEST有效揭示了不同合成数据生成方法在隐私与效用之间的权衡。该框架以开源Python库形式发布，为合成数据研究和应用提供了实用的评估工具。
Towards Diagnostic Quality Flat-Panel Detector CT Imaging Using Diffusion Models,基于扩散模型实现诊断质量的平板探测器CT成像,22 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.16252v1,http://arxiv.org/abs/2508.16252v1,2508.16252v1,本文提出了一种基于扩散模型的图像去噪方法，用于提升介入手术室内平板探测器CT（FDCT）的图像质量，使其接近多排探测器CT（MDCT）的水平。该方法有效减少了FDCT图像中的伪影，增强了解剖结构的可见性，同时保持了出血检测的准确性。临床评估表明，改进后的FDCT图像可用于诊断，减少患者在不同设备间转移的需求，提升了介入治疗的效率和便捷性。相关代码已公开，便于后续研究和应用。
Limit-Computable Grains of Truth for Arbitrary Computable Extensive-Form (Un)Known Games,任意可计算广义形式（未知）博弈的极限可计算真理粒度,22 Aug 2025,Agent,Other,http://arxiv.org/pdf/2508.16245v1,http://arxiv.org/abs/2508.16245v1,2508.16245v1,本文解决了博弈论中“真理粒度”问题，构建了一个包含所有可计算策略且包含贝叶斯最优策略的策略类，允许玩家基于合理先验形成一致的信念。针对已知重复博弈，证明了策略收敛性；对于未知环境，采用Thompson采样的玩家能逼近纳什均衡。该方法不仅理论上完整，且具备实际计算近似能力，推动了多智能体系统中策略学习与预测的理论发展。
TULIP: Adapting Open-Source Large Language Models for Underrepresented Languages and Specialized Financial Tasks,TULIP：面向弱势语言和专业金融任务的开源大语言模型适配,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16243v1,http://arxiv.org/abs/2508.16243v1,2508.16243v1,本文提出了TULIP模型，通过对开源大语言模型Llama 3.1和Qwen 2.5进行适应性训练，专门针对金融领域的土耳其语应用进行了优化。研究设计了包括数据收集、持续预训练、基准测试、合成数据生成和监督微调在内的五阶段流程。实验结果表明，经过改进的小型模型在处理特定语言和专业任务时表现出更强的能力，兼顾了隐私保护和本地部署的需求，为金融领域中资源较少语言的模型应用提供了有效方案。
A Reduction of Input/Output Logics to SAT,输入/输出逻辑到SAT的归约,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16242v1,http://arxiv.org/abs/2508.16242v1,2508.16242v1,本文提出了一种将输入/输出逻辑（一种用于处理规范和义务的形式系统）自动化的方法，通过将其问题转化为一系列命题可满足性问题，实现了对条件规范的有效推理。作者开发了一个名为rio的原型推理器，并通过示例展示了该方法的实用性和有效性。该工作为规范推理的自动化提供了新的工具和思路，促进了形式伦理和法律推理领域的发展。
UniEM-3M: A Universal Electron Micrograph Dataset for Microstructural Segmentation and Generation,UniEM-3M：用于微观结构分割与生成的通用电子显微图数据集,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16239v1,http://arxiv.org/abs/2508.16239v1,2508.16239v1,本文提出了UniEM-3M，一个大规模、多模态的电子显微镜图像数据集，包含约300万实例分割标签和详细的文本描述，旨在推动材料微观结构的自动化分析。作者还发布了基于该数据集训练的文本生成图像模型，用于数据增强和模拟完整数据分布。通过在该数据集上评估多种实例分割方法，提出了表现优异的UniEM-Net基线模型。该工作为电子显微镜图像的深度学习研究提供了丰富资源和标准基准，促进材料科学领域的智能分析发展。
FlexMUSE: Multimodal Unification and Semantics Enhancement Framework with Flexible interaction for Creative Writing,FlexMUSE：具有灵活交互的多模态统一与语义增强框架用于创意写作,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16230v1,http://arxiv.org/abs/2508.16230v1,2508.16230v1,本文提出了FlexMUSE，一种面向多模态创意写作的新框架，旨在生成图文结合的创作内容。不同于传统多模态生成任务，创意写作中文本与图像之间关系更为抽象且灵活。FlexMUSE通过引入灵活的视觉输入模块和语义对齐机制，有效提升了文本与图像的语义一致性和创作自由度。同时，设计了跨模态融合和创意优化策略，增强内容的连贯性和创新性。为推动该领域发展，作者还公开了包含约3000对文本图像的ArtMUSE数据集。实验结果表明，FlexMUSE在创意性和一致性方面表现优异。
PromptFlare: Prompt-Generalized Defense via Cross-Attention Decoy in Diffusion-Based Inpainting,PromptFlare：基于扩散式修复中跨注意力诱饵的提示泛化防护方法,22 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.16217v1,http://arxiv.org/abs/2508.16217v1,2508.16217v1,本文提出了PromptFlare，一种针对基于扩散模型的图像修复恶意修改的新型防护方法。该方法通过利用文本提示中的共享无意义词汇，注入对抗噪声作为“注意力诱饵”，有效干扰模型对提示信息的关注，从而抑制不良图像修改。实验证明，PromptFlare在保护图像安全的同时，显著提升了效率并降低了计算资源消耗，展现出强大的防护能力和实用价值。相关代码已公开。
MedOmni-45°: A Safety-Performance Benchmark for Reasoning-Oriented LLMs in Medicine,MedOmni-45°：面向医学推理的大语言模型安全性能基准,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16213v1,http://arxiv.org/abs/2508.16213v1,2508.16213v1,本文提出了MedOmni-45°，一个专注于医学大语言模型推理安全性与性能权衡的评测基准。该基准包含1800多道涵盖六个医学领域的推理题目，每题配备多种误导性提示，旨在检测模型在面对干扰信息时的准确性、推理一致性及抗误导能力。通过对七款不同类型模型的大规模测试，研究揭示了模型在安全性与性能之间存在明显权衡，无模型能同时领先两者。MedOmni-45°为医学领域大模型的安全可靠性评估提供了重要工具，推动更稳健的模型开发。
OmniCache: A Trajectory-Oriented Global Perspective on Training-Free Cache Reuse for Diffusion Transformer Models,OmniCache：面向轨迹的训练无关扩散Transformer模型全局缓存重用方法,22 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.16212v1,http://arxiv.org/abs/2508.16212v1,2508.16212v1,本文提出了OmniCache，一种无需训练即可加速扩散Transformer模型采样过程的方法。该方法通过从整体采样轨迹出发，合理分配缓存复用策略，充分利用去噪过程中的计算冗余，避免仅集中在部分采样步骤复用缓存。同时，动态估计并滤除缓存复用中的噪声，提升采样方向的准确性。实验证明，OmniCache在保持生成质量的同时显著加快了采样速度，为扩散模型的高效实时应用提供了有效解决方案。
Forecast then Calibrate: Feature Caching as ODE for Efficient Diffusion Transformers,先预测后校准：将特征缓存视为ODE以实现高效的Diffusion Transformers,22 Aug 2025,Diffusion Model,Other,http://arxiv.org/pdf/2508.16211v1,http://arxiv.org/abs/2508.16211v1,2508.16211v1,本文针对扩散变换器在图像和视频生成中的高计算开销，提出了一种基于常微分方程的新型特征缓存方法FoCa（预测-校准）。该方法通过将特征缓存视为求解特征序列的微分方程问题，有效缓解了传统缓存策略在大步长跳跃时预测误差剧增的问题。实验证明，FoCa在无需额外训练的情况下，显著提升了推理速度，同时保持了生成质量，适用于多种视觉任务，展示了良好的加速效果和广泛的应用潜力。
Deep learning-enabled virtual multiplexed immunostaining of label-free tissue for vascular invasion assessment,基于深度学习的无标记组织虚拟多重免疫染色用于血管侵犯评估,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16209v1,http://arxiv.org/abs/2508.16209v1,2508.16209v1,本文提出了一种基于深度学习的虚拟多重免疫染色方法，能够在无需传统染色的情况下，通过无标记组织的自发荧光图像，生成多种关键染色结果。该方法准确模拟了多种免疫组织化学染色，帮助病理医生有效识别和定位甲状腺癌中的血管侵犯。相比传统染色，虚拟多重染色不仅提高了诊断的准确性和效率，还避免了组织损失和样本间差异，具有广泛的临床应用潜力。
Competition and Attraction Improve Model Fusion,竞争与吸引力提升模型融合效果,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16204v1,http://arxiv.org/abs/2508.16204v1,2508.16204v1,本文提出了一种名为M2N2的模型融合方法，通过动态调整融合边界、多样性维护机制和启发式吸引度指标，有效整合多个机器学习模型的知识。该方法突破了传统固定参数分组的限制，首次实现了从零开始进化模型，并在手写数字识别任务中表现出与先进算法相当的性能且计算更高效。此外，M2N2成功融合了专用的语言和图像生成模型，提升了整体性能并保持了重要能力，展示了其广泛适用性和鲁棒性。
SpecVLM: Enhancing Speculative Decoding of Video LLMs via Verifier-Guided Token Pruning,SpecVLM：通过验证器引导的Token剪枝提升视频大语言模型的推测解码,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16201v1,http://arxiv.org/abs/2508.16201v1,2508.16201v1,本论文提出了SpecVLM，一种针对视频大语言模型的无训练投机解码框架，通过分阶段的视频信息筛选显著减少计算负担。SpecVLM利用验证模型的注意力信号，先选取关键信息，再均匀剔除冗余内容，最大限度地减少了视频数据处理量，同时保持了模型的准确性。实验结果表明，该方法在多个视频理解任务中实现了超过两倍的解码速度提升，显著提高了视频模型的推理效率和实用性。
Set Transformer Architectures and Synthetic Data Generation for Flow-Guided Nanoscale Localization,基于Set Transformer架构与合成数据生成的流动引导纳米尺度定位,22 Aug 2025,AI4Science,Other,http://arxiv.org/pdf/2508.16200v1,http://arxiv.org/abs/2508.16200v1,2508.16200v1,本文提出了一种基于Set Transformer的新方法，用于利用纳米设备在血流中的运动时间数据，实现人体内部特定区域的定位诊断。该方法不依赖固定结构或空间先验，能灵活处理不同长度和顺序的数据，提升了对解剖变异的适应性。为缓解数据不足和类别不平衡问题，作者引入多种深度生成模型合成训练数据，增强模型鲁棒性。实验结果表明，该方法在准确性上与传统图神经网络相当，同时具备更好的推广能力，展示了无序数据模型与合成数据增强在纳米定位领域的应用潜力。
"CMR-SPB: Cross-Modal Multi-Hop Reasoning over Text, Image, and Speech with Path Balance",CMR-SPB：基于路径平衡的文本、图像与语音跨模态多跳推理,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16198v1,http://arxiv.org/abs/2508.16198v1,2508.16198v1,本文针对多模态大语言模型在跨模态多跳推理中的不足，提出了一个新的评测基准CMR-SPB，该基准涵盖文本、图像和语音三种模态，且设计了均衡多样的推理路径以避免评估偏差。实验结果表明，现有模型在特定推理路径上表现不佳，且传统偏向性评测可能误导性能判断。基于分析，作者提出了一种新的提示策略，有效缩小不同推理路径间的性能差距。该工作促进了对多模态推理能力的公平评估和模型的稳健发展。
ComicScene154: A Scene Dataset for Comic Analysis,ComicScene154：用于漫画分析的场景数据集,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16190v1,http://arxiv.org/abs/2508.16190v1,2508.16190v1,本文介绍了ComicScene154数据集，这是一个涵盖多种类型的公共领域漫画场景级叙事弧的手工标注数据集。作者将漫画视为融合文本与图像的多模态叙事形式，强调其在多模态故事理解研究中的潜力。通过构建一个基础的场景分割方法，论文为后续相关研究提供了初步基准。ComicScene154为计算机对漫画叙事的分析和自然语言处理领域的多模态研究提供了重要资源。
Seeing is Believing: Emotion-Aware Audio-Visual Language Modeling for Expressive Speech Generation,看见即相信：面向表达性语音生成的情感感知视听语言建模,22 Aug 2025,Multimodal LLM,Other,http://arxiv.org/pdf/2508.16188v1,http://arxiv.org/abs/2508.16188v1,2508.16188v1,本文提出了一种融合面部视觉信息的音视频语言模型（AVLM），用于生成富有情感表达的语音。通过比较多种视觉编码器和多模态融合方法，确定了最佳的视觉信息整合策略。模型在情感识别和表达式对话任务中显著优于仅基于语音的系统，情感识别F1值提升约5个百分点。研究表明，面部视觉线索对指导情感丰富的语音生成具有重要作用，为构建端到端的多模态对话系统提供了有力支持。
ParamBench: A Graduate-Level Benchmark for Evaluating LLM Understanding on Indic Subjects,ParamBench：用于评估大语言模型对印度语境学科理解的研究生级基准,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16185v1,http://arxiv.org/abs/2508.16185v1,2508.16185v1,本文提出了ParamBench，一个包含约1.15万道印地语题目的印度研究生水平考试题库，涵盖历史、音乐、哲学等16个多样化学科，旨在评估大型语言模型（LLM）对印度文化背景下复杂学科知识的理解能力。通过测试17款开源模型，发现表现最佳的Llama 3.3 70B准确率仅为48%，且在音乐、古典乐器、政治和考古等领域表现较弱。该基准揭示了现有LLM在文化特定知识推理上的不足，推动了面向区域文化的模型评估研究。
LLM-Assisted Semantic Alignment and Integration in Collaborative Model-Based Systems Engineering Using SysML v2,基于LLM辅助的SysML v2协同模型驱动系统工程中的语义对齐与集成,22 Aug 2025,LLM,Other,http://arxiv.org/pdf/2508.16181v1,http://arxiv.org/abs/2508.16181v1,2508.16181v1,本文针对跨组织协作中系统模型语义不一致的问题，提出了一种基于大语言模型（LLM）辅助的语义对齐方法，结合SysML v2的新特性实现模型的结构化整合。该方法通过迭代设计提示语，支持模型信息提取、语义匹配与验证，促进不同系统模型之间的可追溯软对齐。以测量系统为例，展示了该方法在提升模型互操作性方面的有效性，并分析了其优势与局限，为协同模型驱动工程提供了新的技术路径。
Motor Imagery EEG Signal Classification Using Minimally Random Convolutional Kernel Transform and Hybrid Deep Learning,基于最小随机卷积核变换与混合深度学习的运动想象脑电信号分类,22 Aug 2025,Other,Other,http://arxiv.org/pdf/2508.16179v1,http://arxiv.org/abs/2508.16179v1,2508.16179v1,本文提出了一种基于最小随机卷积核变换（MiniRocket）和混合深度学习（CNN-LSTM）的脑电信号分类方法，旨在提升运动想象脑机接口（MI-BCI）中脑电信号的识别准确率。该方法有效解决了脑电信号的非平稳性和个体差异问题，在PhysioNet数据集上的实验结果显示，MiniRocket特征提取结合线性分类器实现了98.63%的准确率，优于传统深度学习模型且计算成本更低。研究为运动想象脑电信号的特征提取和分类提供了新的思路和有效手段。
